cod_ocorrencia;cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao
1;1;1;2003;2003m01;5;1;Rio de Janeiro;3304557;Capital
2;4;1;2003;2003m01;5;1;Rio de Janeiro;3304557;Capital
3;5;1;2003;2003m01;5;1;Rio de Janeiro;3304557;Capital
4;6;1;2003;2003m01;1;1;Rio de Janeiro;3304557;Capital
5;7;1;2003;2003m01;1;1;Rio de Janeiro;3304557;Capital
6;9;1;2003;2003m01;2;1;Rio de Janeiro;3304557;Capital
7;10;1;2003;2003m01;2;1;Rio de Janeiro;3304557;Capital
8;12;1;2003;2003m01;19;1;Rio de Janeiro;3304557;Capital
9;13;1;2003;2003m01;19;1;Rio de Janeiro;3304557;Capital
10;14;1;2003;2003m01;23;1;Rio de Janeiro;3304557;Capital
11;15;1;2003;2003m01;23;1;Rio de Janeiro;3304557;Capital
12;16;1;2003;2003m01;36;6;Rio de Janeiro;3304557;Capital
13;17;1;2003;2003m01;4;1;Rio de Janeiro;3304557;Capital
14;18;1;2003;2003m01;6;1;Rio de Janeiro;3304557;Capital
15;19;1;2003;2003m01;6;1;Rio de Janeiro;3304557;Capital
16;20;1;2003;2003m01;6;1;Rio de Janeiro;3304557;Capital
17;21;1;2003;2003m01;22;1;Rio de Janeiro;3304557;Capital
18;22;1;2003;2003m01;16;1;Rio de Janeiro;3304557;Capital
19;23;1;2003;2003m01;3;1;Rio de Janeiro;3304557;Capital
20;24;1;2003;2003m01;3;1;Rio de Janeiro;3304557;Capital
21;25;1;2003;2003m01;3;1;Rio de Janeiro;3304557;Capital
22;26;1;2003;2003m01;3;1;Rio de Janeiro;3304557;Capital
23;27;1;2003;2003m01;9;2;Rio de Janeiro;3304557;Capital
24;28;1;2003;2003m01;9;2;Rio de Janeiro;3304557;Capital
25;29;1;2003;2003m01;9;2;Rio de Janeiro;3304557;Capital
26;30;1;2003;2003m01;9;2;Rio de Janeiro;3304557;Capital
27;31;1;2003;2003m01;14;2;Rio de Janeiro;3304557;Capital
28;32;1;2003;2003m01;18;2;Rio de Janeiro;3304557;Capital
29;33;1;2003;2003m01;14;2;Rio de Janeiro;3304557;Capital
30;34;1;2003;2003m01;14;2;Rio de Janeiro;3304557;Capital
