cod_ocorrencia;roubo_celular
1;32
2;14
3;34
4;20
5;1
6;16
7;17
8;22
9;10
10;11
11;6
12;17
13;27
14;27
15;23
16;21
17;31
18;17
19;41
20;19
21;16
22;0
23;23
24;18
25;29
26;22
27;1
28;20
29;17
30;23
31;25
32;10
33;19
34;8
35;33
36;14
37;8
38;12
39;1
40;6
41;0
42;16
43;6
44;8
45;2
46;3
47;8
48;2
49;36
50;5
51;1
52;3
53;20
54;2
55;3
56;2
57;6
58;3
59;8
60;2
61;23
62;13
63;12
64;0
65;3
66;1
67;0
68;1
69;1
70;0
71;0
72;5
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;1
82;1
83;0
84;0
85;0
86;1
87;0
88;0
89;1
90;0
91;0
92;1
93;0
94;5
95;1
96;1
97;24
98;3
99;3
100;1
101;12
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;1
114;1
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;2
125;1
126;0
127;33
128;26
129;27
130;24
131;1
132;15
133;20
134;13
135;13
136;20
137;1
138;19
139;18
140;37
141;25
142;22
143;26
144;20
145;23
146;11
147;9
148;0
149;28
150;10
151;37
152;19
153;2
154;21
155;7
156;23
157;17
158;9
159;20
160;15
161;38
162;14
163;15
164;12
165;3
166;3
167;2
168;17
169;9
170;5
171;1
172;4
173;12
174;5
175;48
176;5
177;0
178;0
179;7
180;1
181;4
182;2
183;7
184;4
185;20
186;2
187;32
188;30
189;5
190;2
191;3
192;0
193;0
194;1
195;1
196;0
197;0
198;1
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;4
208;0
209;0
210;1
211;0
212;1
213;0
214;0
215;2
216;0
217;0
218;0
219;0
220;4
221;0
222;0
223;4
224;1
225;0
226;0
227;13
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;1
239;2
240;3
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;1
250;0
251;0
252;0
253;26
254;22
255;22
256;17
257;5
258;9
259;17
260;10
261;9
262;21
263;3
264;18
265;16
266;24
267;30
268;26
269;21
270;18
271;38
272;18
273;19
274;0
275;21
276;11
277;37
278;18
279;0
280;18
281;24
282;47
283;22
284;12
285;14
286;8
287;38
288;10
289;17
290;19
291;0
292;1
293;0
294;18
295;8
296;4
297;5
298;5
299;8
300;7
301;32
302;3
303;0
304;5
305;10
306;4
307;3
308;4
309;15
310;6
311;12
312;1
313;27
314;19
315;6
316;4
317;3
318;1
319;0
320;0
321;2
322;0
323;0
324;4
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;3
334;0
335;0
336;3
337;0
338;0
339;0
340;0
341;1
342;2
343;1
344;0
345;0
346;2
347;1
348;0
349;15
350;2
351;4
352;1
353;20
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;1
366;1
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;1
375;0
376;1
377;1
378;0
379;32
380;19
381;21
382;13
383;1
384;29
385;32
386;17
387;11
388;11
389;6
390;12
391;16
392;28
393;26
394;21
395;24
396;18
397;35
398;18
399;14
400;0
401;20
402;6
403;39
404;22
405;1
406;32
407;6
408;35
409;31
410;7
411;14
412;21
413;27
414;16
415;11
416;0
417;11
418;1
419;1
420;0
421;26
422;6
423;7
424;3
425;10
426;7
427;7
428;54
429;3
430;1
431;3
432;16
433;3
434;1
435;3
436;10
437;5
438;11
439;1
440;29
441;23
442;9
443;1
444;1
445;5
446;0
447;3
448;0
449;0
450;0
451;6
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;5
461;0
462;0
463;0
464;0
465;1
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;8
474;0
475;2
476;3
477;2
478;0
479;0
480;20
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;1
490;0
491;0
492;0
493;1
494;0
495;0
496;1
497;0
498;0
499;0
500;0
501;0
502;1
503;2
504;1
505;0
506;28
507;17
508;24
509;24
510;1
511;21
512;34
513;16
514;8
515;23
516;6
517;15
518;19
519;23
520;18
521;27
522;41
523;22
524;51
525;16
526;17
527;0
528;23
529;22
530;31
531;23
532;1
533;25
534;15
535;31
536;31
537;5
538;23
539;22
540;23
541;9
542;12
543;0
544;20
545;0
546;1
547;0
548;19
549;13
550;10
551;1
552;5
553;7
554;6
555;48
556;3
557;0
558;1
559;16
560;1
561;2
562;8
563;14
564;6
565;13
566;1
567;29
568;17
569;7
570;4
571;1
572;4
573;0
574;0
575;1
576;0
577;0
578;11
579;0
580;0
581;0
582;0
583;0
584;1
585;1
586;0
587;2
588;0
589;0
590;2
591;0
592;0
593;0
594;0
595;1
596;1
597;0
598;0
599;0
600;5
601;0
602;0
603;8
604;0
605;2
606;0
607;25
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;1
617;0
618;1
619;3
620;1
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;1
629;0
630;1
631;0
632;0
633;19
634;19
635;28
636;19
637;1
638;16
639;22
640;6
641;11
642;16
643;4
644;11
645;15
646;23
647;23
648;16
649;27
650;31
651;40
652;20
653;16
654;0
655;22
656;14
657;41
658;24
659;0
660;14
661;12
662;27
663;19
664;10
665;31
666;21
667;21
668;11
669;19
670;0
671;12
672;4
673;1
674;0
675;13
676;5
677;8
678;2
679;3
680;8
681;5
682;54
683;5
684;0
685;1
686;13
687;0
688;0
689;7
690;15
691;2
692;9
693;3
694;29
695;18
696;14
697;6
698;4
699;1
700;2
701;2
702;0
703;0
704;0
705;4
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;1
715;0
716;0
717;0
718;0
719;2
720;0
721;0
722;0
723;0
724;0
725;0
726;1
727;7
728;1
729;0
730;2
731;1
732;0
733;0
734;24
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;3
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;1
757;0
758;1
759;0
760;24
761;27
762;38
763;21
764;0
765;20
766;22
767;9
768;11
769;20
770;5
771;11
772;19
773;15
774;19
775;28
776;23
777;18
778;55
779;18
780;22
781;0
782;20
783;27
784;31
785;20
786;0
787;15
788;7
789;16
790;30
791;9
792;25
793;12
794;31
795;11
796;13
797;0
798;16
799;0
800;5
801;2
802;23
803;6
804;9
805;0
806;2
807;17
808;5
809;38
810;9
811;1
812;4
813;18
814;3
815;1
816;3
817;8
818;8
819;15
820;1
821;38
822;27
823;13
824;2
825;1
826;1
827;0
828;1
829;1
830;0
831;0
832;5
833;0
834;0
835;0
836;0
837;0
838;1
839;0
840;0
841;4
842;0
843;0
844;0
845;0
846;3
847;0
848;0
849;3
850;0
851;0
852;0
853;0
854;3
855;2
856;1
857;6
858;0
859;0
860;0
861;18
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;1
872;0
873;1
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;32
888;21
889;40
890;30
891;1
892;17
893;25
894;10
895;8
896;22
897;3
898;22
899;14
900;29
901;22
902;26
903;29
904;26
905;64
906;15
907;15
908;0
909;16
910;14
911;28
912;20
913;1
914;22
915;17
916;25
917;23
918;7
919;27
920;21
921;26
922;15
923;11
924;0
925;10
926;0
927;1
928;0
929;14
930;8
931;10
932;1
933;7
934;13
935;6
936;47
937;5
938;1
939;7
940;19
941;3
942;2
943;3
944;8
945;2
946;19
947;0
948;25
949;23
950;10
951;1
952;3
953;0
954;0
955;1
956;0
957;0
958;0
959;2
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;1
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;2
977;0
978;0
979;0
980;0
981;6
982;1
983;1
984;13
985;1
986;0
987;0
988;11
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;1
1001;0
1002;7
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;1
1013;0
1014;0
1015;20
1016;19
1017;40
1018;23
1019;2
1020;37
1021;21
1022;7
1023;13
1024;30
1025;15
1026;15
1027;18
1028;31
1029;20
1030;32
1031;31
1032;24
1033;58
1034;27
1035;19
1036;0
1037;17
1038;15
1039;41
1040;27
1041;1
1042;16
1043;14
1044;33
1045;31
1046;9
1047;24
1048;19
1049;34
1050;15
1051;18
1052;0
1053;21
1054;0
1055;4
1056;0
1057;28
1058;5
1059;10
1060;4
1061;4
1062;16
1063;7
1064;46
1065;6
1066;1
1067;9
1068;26
1069;4
1070;3
1071;9
1072;16
1073;3
1074;30
1075;4
1076;29
1077;23
1078;8
1079;3
1080;2
1081;2
1082;0
1083;5
1084;4
1085;0
1086;0
1087;2
1088;0
1089;0
1090;0
1091;0
1092;0
1093;0
1094;0
1095;0
1096;1
1097;0
1098;0
1099;0
1100;0
1101;0
1102;0
1103;0
1104;1
1105;0
1106;0
1107;0
1108;0
1109;10
1110;2
1111;1
1112;5
1113;0
1114;0
1115;0
1116;23
1117;0
1118;0
1119;0
1120;0
1121;0
1122;0
1123;0
1124;0
1125;1
1126;0
1127;0
1128;3
1129;0
1130;1
1131;0
1132;0
1133;0
1134;0
1135;0
1136;0
1137;0
1138;0
1139;0
1140;4
1141;0
1142;0
1143;26
1144;25
1145;33
1146;38
1147;5
1148;37
1149;35
1150;15
1151;15
1152;32
1153;12
1154;25
1155;22
1156;38
1157;32
1158;25
1159;26
1160;38
1161;67
1162;35
1163;16
1164;0
1165;28
1166;20
1167;40
1168;25
1169;1
1170;16
1171;19
1172;28
1173;25
1174;7
1175;34
1176;18
1177;41
1178;13
1179;18
1180;0
1181;21
1182;2
1183;0
1184;1
1185;30
1186;6
1187;6
1188;3
1189;8
1190;20
1191;6
1192;50
1193;6
1194;0
1195;3
1196;20
1197;3
1198;0
1199;5
1200;19
1201;4
1202;17
1203;2
1204;35
1205;20
1206;6
1207;1
1208;3
1209;0
1210;0
1211;2
1212;1
1213;0
1214;0
1215;5
1216;0
1217;0
1218;0
1219;0
1220;0
1221;0
1222;0
1223;0
1224;1
1225;0
1226;0
1227;0
1228;0
1229;2
1230;0
1231;0
1232;3
1233;0
1234;0
1235;0
1236;0
1237;6
1238;1
1239;0
1240;4
1241;0
1242;3
1243;0
1244;16
1245;0
1246;0
1247;0
1248;0
1249;0
1250;0
1251;0
1252;0
1253;0
1254;0
1255;0
1256;0
1257;0
1258;2
1259;0
1260;0
1261;0
1262;0
1263;0
